,screen_names,texts,dates,langs
52,Gonzamj08,@padawanMichel Aquí la hamburguesa con 6 embriones de pollo https://t.co/OdxZlCS1N6,2021-04-23 19:01:25,es
53,canderodrigguez,"quiero una hamburguesa con papas fritas y coca, pero tambien quiero un cafe con leche con medialunas o pastrafrola,… https://t.co/4f3RAY8DeG",2021-04-23 16:56:48,es
54,camiisolis_,QUE GANAS DE UNA BUENA HAMBURGUESA CON PAPAS 😋,2021-04-23 15:16:01,es
55,mat_giov,"@elocorober Buen día, Robert! Hamburguesa con papas fritas y somos felices 🥰",2021-04-23 11:43:39,es
56,twantonelladg,Yo: bueno vamos a comer tranqui cosa de que no caiga pesado después además cuanto más sano coma más linda voy a ten… https://t.co/Fc64OKwerA,2021-04-23 08:56:09,es
57,Mili_Chirino26,Que ganas de comer una buena hamburguesa con mucho cheddaaaar,2021-04-23 08:04:08,es
58,alexiaVgonzalez,Hamburguesa con manteca jajajaja una re loca come lo que sea,2021-04-23 04:19:18,es
59,esaesmivespa,"¿Ya dije que los deliveries de Las Toscas, Atlantida y Parque del Plata son mejores que cualquiera de la ciudad?

B… https://t.co/BL0IR2N21N",2021-04-23 04:08:54,es
60,_guillx,Que ganas de clavarme una hamburguesa con papitas y morir feliz,2021-04-23 02:40:17,es
61,Joacobolso21,Comi  todo el día y ahora me pedí una hamburguesa  con papas jeje soy feliz,2021-04-23 02:37:58,es
62,SoyunaCasi,"@federama8 Puajjjjjj, solo el pionono me banco, cómo vas a comer una hamburguesa con donas?????",2021-04-23 02:16:53,es
63,danivegasarg,"Pido una hamburguesa con una pepsi de 500, me como la deliciosa hamburguesa, el siguiente paso es tomar algo para b… https://t.co/RS8xC8Fi8m",2021-04-23 02:16:42,es
64,moonmoonhoe,"@deadpancreass Me pedí el combo Box 5 en 1 de KFC que trae 3 piezas, un strip, papas medianas y una hamburguesa con… https://t.co/eLwp1CMDZ4",2021-04-23 01:07:56,es
65,zoeseena,Alguien me trae una hamburguesa con queso y unas papas? Gracias,2021-04-23 00:35:57,es
66,BreendaMagalii,Que ganas de una buena hamburguesa con papas y mucho chedar 🤤🤤🥺,2021-04-23 00:22:12,es
67,cami_lacomette,Quiero una hamburguesa con cheddar,2021-04-22 23:05:51,es
68,MicaelaIsasi3,Tengo ganas de clavarme una hamburguesa con papas y mucha coca,2021-04-22 22:26:28,es
69,Karen_Solerr,"Desayune Bien, almorcé bien , merende  bien. Llega está hora y ya me quiero clavar una Hamburguesa con cheddar, bañ… https://t.co/b5u1A1m3IG",2021-04-22 22:12:59,es
70,BeluuBritez1,"Hace una semana vengo comiendo ""sano y light"" ya no aguanto necesito comer una hamburguesa con papas fritas 😞💔",2021-04-22 21:18:30,es
71,Camilatevz,"Tengo mil ganas de clavarme una buena hamburguesa con 4 carnes , mucho cheddar  y mucho bacon fuaaa🤤🤤",2021-04-22 20:54:08,es
72,_remanso,almorzando 5:38 en una clase de neuro hablando sobre potenciales de membrana y comiendo hamburguesa con papas frita… https://t.co/z1UOEYaHxI,2021-04-22 20:38:00,es
73,gabrielguerra09,Como juega una buena hamburguesa con cheddar a las 5pm,2021-04-22 19:54:16,es
74,Lantero,mi vida por una hamburguesa con papas de five guys.,2021-04-22 19:21:51,es
75,gomez19_sophie,Es una suoer hamburguesa con su hamburguesita arriba 🥰🥰🥰 https://t.co/Xo3tcIUvdO,2021-04-22 17:02:35,ca
76,nickymontiel4,"el día se presta para ver netflix, comer hamburguesa con cheddar y de postre helado😩 Voy o venís?",2021-04-22 15:48:25,es
77,DaiiVegaa,"Que ganas de comer una Buena Hamburguesa Con muchas papas Y coca bien fría 
Que Se me tapen todas las arterias",2021-04-22 14:17:24,es
78,SaantiOrtiiz,q buena hamburguesa con cheddar y bacon me clavaría a esta hora,2021-04-22 13:33:50,es
79,edu__flow,"[22/4 8:17 a. m.] Nickelson: Pero estoy con una re diarrea
[22/4 8:17 a. m.] Ojeda Eduardo.: Tranqui
[22/4 8:17 a.… https://t.co/xMt5J3uqX6",2021-04-22 11:24:16,es
80,LuulaHeiden,Necesito una hamburguesa con cheddar y panceta para que se me vaya el bajon. Más caprichosa no había no,2021-04-22 04:10:07,es
