screen_names,texts,dates,langs
pomarassic,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-28 00:07:02,es
palogomez__,quiero hamburguesa,2021-04-28 00:06:44,es
camif_20,quieor hamburguesa,2021-04-28 00:06:16,es
guadabenavidez3,m voy comprar hamburguesa black pq unico q m hace bien,2021-04-28 00:05:42,es
sigosiendonuevo,confuso episodio vez escribir tuit pedi delivery hamburguesa doble papas fritas tambien,2021-04-28 00:05:35,es
Rriita,quiero hamburguesa condor,2021-04-28 00:05:23,es
quischur,quiero pizza hamburguesa malteada helado gigante dulces chocolates perrito caliente transmilenio,2021-04-28 00:05:21,es
marrrzelito,vi video tiktok chabon diciendo tirar carne picada varias veces mesada qu,2021-04-28 00:05:08,es
inmxrtalsxnd,veremos menos sorpresa llevaria seguro joven habia terminado u,2021-04-28 00:04:44,es
foIkwaIIs,vegetaria cada clavo hamburguesa,2021-04-28 00:04:39,es
CaceresConC,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-28 00:04:34,es
ivannazau,pieza brillante llama tiempos confusos busca promocionar impossibleburger,2021-04-28 00:04:30,es
lababyboooo,pinche hamburguesa carl s ice shake cream hace falta neta,2021-04-28 00:04:25,es
kattcorts,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones higad,2021-04-28 00:04:24,es
psychegev,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñon,2021-04-28 00:04:16,es
yb1005_,linda pensara mandarme hamburguesa jm,2021-04-28 00:04:08,es
Sweetxhabit1,pedi nuevo hamburguesa repartidor lindo fav pido numero jodaaaa,2021-04-28 00:03:32,es
LelyftRubius,toma dinero hamburguesa,2021-04-28 00:03:29,es
beccacacacaca,comi hamburguesa,2021-04-28 00:03:24,es
iewonga,muchas ganas inviten hamburguesa ando antojada comer ahorita wow,2021-04-28 00:03:21,es
humbertoyya,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñone,2021-04-28 00:03:09,es
DabetoChica,alitas picantes paquete papas grandes kfc pepsi light hamburguesa regular mcdonalds paque,2021-04-28 00:03:08,es
telerinonline,dice si pueden ayuden gastronomicos amigos miren mero vasca pisto manchego,2021-04-28 00:02:54,es
MapplesFp,hamburguesa arroz queso,2021-04-28 00:02:35,es
LaBrujaCosmica8,usa marcar comes semen mostaza pepinillo cilantro pizza piña sushi brocoli pito,2021-04-28 00:02:34,es
Matigonzalezz1,quiero comer re hamburguesa,2021-04-28 00:02:30,es
LuisGPorres,tardas jaja das miedo fenomeno papas hamburguesa,2021-04-28 00:02:25,es
Mitlan17,revancha medio obvio resultado q pagan pa ver bodrio jake,2021-04-28 00:02:19,es
LuanaPalacios,novio viene dormir sola autoconsuelo pedi hamburguesa nunca ensaladita ser feliz luana,2021-04-28 00:02:03,es
marcosripari00,tendria hamburguesa mientras posa x dios igual seguro termino comiendo intentaria,2021-04-28 00:01:59,es
abbybolletta28,considerando prostituirme hamburguesa mostaza,2021-04-28 00:01:56,es
ldjl21,ganas hamburguesa casera papitas,2021-04-28 00:01:54,es
SoyLaChachis,convivir usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocol,2021-04-28 00:01:45,es
rominag55638618,vez quiero buena hamburguesa vez voy quedar ganas,2021-04-28 00:01:11,es
CR_Dominguez,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli cham,2021-04-28 00:00:54,es
ChaveroLi,hermano triste unico consuelo valido flia preguntarle cada mins si quiere comer hamburgu,2021-04-28 00:00:26,es
p_vic_thor,ganas hamburguesa feo comer,2021-04-28 00:00:25,es
Flow_Atelier,usa marcar comes mostaza pepino cilantro pizza anana sushi brocoli champiñones,2021-04-27 23:59:46,es
nataliacs0627,perdida apetito tan terrible hamburguesa completa puedo comer,2021-04-27 23:59:31,es
Huitzzil,tambien quiero convivir usa marcar comes mostaza pepinillo cilantro pizza piña sushi,2021-04-27 23:59:21,es
exe_fiumarelli,unas ganas hamburguesa,2021-04-27 23:59:20,es
aisman6,pequeño espacio ayuda emprendedores recomendaciones comida mexicana hamburguesa,2021-04-27 23:59:09,es
kuchita_mon,quiero hamburguesa,2021-04-27 23:59:07,es
kiminonari,unas crias verdad comer hamburguesa bts q seguro igual euro poneis quej,2021-04-27 23:58:52,es
_carmela666,quiero hamburguesa,2021-04-27 23:58:47,es
carlos_atachi,deja termino hamburguesa animo xd,2021-04-27 23:58:30,es
iismael23,sii perdimos hamburguesa pollo nuggets pollo buena carne,2021-04-27 23:58:20,es
ChicleBombaZ,usa marcar comes lt trago gt mostaza pepinillo cilantro pizza piña,2021-04-27 23:57:51,es
iojiki,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-27 23:57:42,es
Cesar_Malo,godzilla mejor hamburguesa carls j,2021-04-27 23:57:08,es
ArianaTeso,necesitaria hamburguesa pa ser feliz nomas bueno chocolatito tambien,2021-04-27 23:57:07,es
bokeeeta,foto hamburguesa,2021-04-27 23:56:35,es
MaxiVottero19,aburrido entonces pedi hamburguesa chocolina,2021-04-27 23:56:28,es
lvasquezt,hamburguesa dulce chipotle,2021-04-27 23:55:57,es
Conejita_lunar,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-27 23:55:43,es
triniii_herrera,hamburguesa pure papas milanesa pollo ñoquis mas,2021-04-27 23:54:42,es
pilarcitadcf,hambre hamburguesa,2021-04-27 23:54:39,es
CarRodriguezG,acabo comer plato polenta salsa postre arroz leche realidad deseo gordamente hamburguesa,2021-04-27 23:54:39,es
clericicar,antojadisima hamburguesa maraton rapido furioso,2021-04-27 23:54:27,es
AgustinaVega08,hace mil años deseaba comer hamburguesa,2021-04-27 23:54:23,es
NotCharless,merezco hamburguesa corral,2021-04-27 23:54:08,es
PaabloCarvajal,serian comiendo hamburguesa mientras toman clase ldls riesgo cardiovascular,2021-04-27 23:53:58,es
i91RIVER0AD,q asco toco hamburguesa nunca mas,2021-04-27 23:53:54,es
excessvs,si khalid queria comer pepinillo podia eh vez hamburguesa limpia cosa dinah,2021-04-27 23:53:53,es
DumySilverPay,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñone,2021-04-27 23:53:23,es
Floor_Maatinez,ganas ir comer buena hamburguesa macdonald mostaza,2021-04-27 23:53:19,es
JulianaErazos_,lugar favorito comiendome hamburguesa,2021-04-27 23:53:02,es
Sergiokvothe,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-27 23:52:32,es
sm_1891,mostaza pepinillo cilantro pizza piña sushi brocoli champiñones higado ham,2021-04-27 23:52:29,es
g_abby_,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli,2021-04-27 23:50:57,es
Jxsedxvid,salgo nadie ppnga claro vainas amigas saben ando paja,2021-04-27 23:50:27,es
lenvl0g,wea mas mala hamburguesa si quinua,2021-04-27 23:50:13,es
LuanaCos_ok,gane embajadora pagina pinta hamburguesa festejar,2021-04-27 23:50:13,es
agusrodc_,mato muero hamburguesa bien grasienta papitas,2021-04-27 23:50:12,es
_fedelugo,hamburguesa papas fritas necesito pa bien,2021-04-27 23:50:01,es
Argentapromedio,psicopata come hamburguesa soja,2021-04-27 23:49:46,es
14Alexissotelo,mepa hoy pido hamburguesa papas,2021-04-27 23:49:31,es
Nelsonriverapu,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones h,2021-04-27 23:49:18,es
micaagabrielli,contando minutos novio deje cursar elija hamburguesa muerta hambre,2021-04-27 23:49:16,es
NudoCojo,usa marcar comes chile chairas,2021-04-27 23:48:47,es
emchaker,si voy solita comerme hamburguesa quiero,2021-04-27 23:48:46,es
jvadd91,cansancio corporal dios carolina traeme hamburguesa q quiero ir dormir,2021-04-27 23:48:45,es
baddoblas,kiko cuanto debo xxx hamburguesa mas vodka kiko doy xxx si,2021-04-27 23:48:35,es
sabrinavitabar7,llevaba mas meses comer cosas fritas kathy invito comer hamburguesa completa bue,2021-04-27 23:48:20,es
zx6_julieta,fav pido hamburguesa pollo mostaza,2021-04-27 23:47:39,es
paauvillarino,vida hamburguesa d milton,2021-04-27 23:47:35,es
milimedeot,hola alguien quiere regalar hamburguesa,2021-04-27 23:47:17,es
paulericklobon,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocol,2021-04-27 23:47:08,es
LuisaCaballeroR,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-27 23:46:52,es
Nora_Dreyfus,usa marcar comes mostaza pepinillo cilantro pizza piña sushi broco,2021-04-27 23:46:45,es
ulises_agustin4,pinta ir ver partidito comiendo señora hamburguesa,2021-04-27 23:46:25,es
Valbarracin14,q ganas hamburguesa black pan,2021-04-27 23:45:44,es
vherrerab23,luego dieta liquida ojala semana atraviese hamburguesa papitas waffle nutella,2021-04-27 23:45:37,es
ElMcAdams,hoy compre hamburguesa mcdonald s probe tenia sabor aroma hacen hamburguesas,2021-04-27 23:45:31,es
PipeLaverdeSF,solo unita usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli,2021-04-27 23:45:31,es
BNTG_jm,pizza hamburguesa,2021-04-27 23:45:24,es
noesuarez___,comeria hamburguesa papas cheddar,2021-04-27 23:45:13,es
ArrobaCrispe,deteste mas echan hamburguesa rodaja gruesa tomate,2021-04-27 23:45:12,es
belen_nardelli,felicidad seguro parecida hamburguesa ronnie b,2021-04-27 23:44:40,es
sillon17,acabe virus invito hamburguesa recordar ibamos dar par vueltas play land,2021-04-27 23:44:38,es
Oriludmilaa,ganas hamburguesa mostaza,2021-04-27 23:44:05,es
zegnix,usa marcar comes mostaza pepinillo cilantro pizza piña sushi broco,2021-04-27 23:43:59,es
AguustinaM_,findes hamburguesa fija,2021-04-27 23:43:50,es
NicolasMavrici_,acabo pedir hamburguesa,2021-04-27 23:43:17,es
julianamcs,dermatologa juliana puedes comer dulce pan tomar lacteos licor mismo dia amor vamos comer,2021-04-27 23:42:50,es
AngelicaClaro21,quiero comer hamburguesa doña interna recordo casa habia comida ps aqui ca,2021-04-27 23:42:46,es
RappiCuponesAr2,gratis envios codigo matias rappi rappicreditos rappiprime voucher regalo,2021-04-27 23:42:46,es
wonderquartz,primero obligo comprarme cuadradito torta solo vegana dije veces local mism,2021-04-27 23:41:44,es
judiit_gs,tan mal mostaza pepinillo cilantro pizza piña sushi brocoli champiñones hig,2021-04-27 23:41:25,es
Yo_mera_mty,hamburguesa llamada diablo deliciosa queso jalapeño empanizado relleno queso,2021-04-27 23:41:23,es
Alinda7,usa marcar gusta mostaza pepinillo cilantro pizza piña sushi brocoli champi,2021-04-27 23:41:21,es
sxnflower_vol6,uff creo hamburguesa i vote louies for bestfanarmy at the iheartawards,2021-04-27 23:41:20,es
mariangza_,quiero hamburguesa pollito,2021-04-27 23:41:20,es
Vickyalmaada1,convenci comer hamburguesa seeeee,2021-04-27 23:41:11,es
AsxRPG69,tratando peo ansiedad i guess trabajando btw dices q hambur,2021-04-27 23:40:25,es
alessacisneros,mmm salir correr pedirme hamburguesa qu ser mmmmm,2021-04-27 23:39:44,es
Ezeboccagni1,hamburguesa callejera mugrosa sabrosaaa jajaja,2021-04-27 23:39:44,es
kaatithy,hamburguesa lentejas foto card bts xd,2021-04-27 23:39:35,es
isabeleysix,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-27 23:39:21,es
BaruchRr,usa marcar comes mostaza pepinillo cilan,2021-04-27 23:39:14,es
chrstngmnz,voy salir vereda capaz cae cielo hamburguesa completa fritas cheddar,2021-04-27 23:39:08,es
LazcanoBren,puedo tener ganas cenar hamburguesa papitas dias vida respuesta si,2021-04-27 23:38:56,es
Diego_Ivan94,punto comprar hamburguesa gula,2021-04-27 23:38:28,es
ivitoo_,ganas hamburguesa debe ser luna,2021-04-27 23:38:19,es
camiloocantante,hice hamburguesa vegetal crianza huele comida perro,2021-04-27 23:38:09,es
excessvs,broma tardo mas localizar primera peli harry potter puso pantalla compl,2021-04-27 23:37:55,es
kingmxmus,habla burger king alguien quiere pedir hamburguesa solo hoy descuento,2021-04-27 23:37:49,es
